team,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff,location_value_opp,mp_opp,fg_opp,fga_opp,fg_pct_opp,fg3_opp,fg3a_opp,fg3_pct_opp,ft_opp,fta_opp,ft_pct_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,possessions_opp,raw_off_eff_opp,fg2,fg2a,fg2_pct,efg,rate_3pa,rate_2pa,ft_rate,ftm_rate,tov_rate,orb_rate,drb_rate,ast_rate,stl_rate,blk_rate,pace,def_eff,net_eff,games_played
Mercyhurst,-0.75,200.75,24.0,57.0,0.42,5.375,18.75,0.2871,9.25,14.375,0.6272,8.0,19.375,27.375,13.0,6.75,4.125,9.75,19.75,62.625,65.5762,95.3625,0.75,200.0,21.625,50.5,0.43,6.875,19.875,0.3248,19.75,26.0,0.7636,9.125,23.625,32.75,12.625,5.25,3.75,12.375,16.375,69.875,66.0988,105.84,18.625,38.25,0.4915,0.4682,0.3316,0.6684,0.2539,0.1618,0.1494,0.2543,0.6859,0.1974,0.1026,0.0626,13.0653,106.7461,-11.3836,8
Merrimack,-0.5,200.0,21.0833,54.9167,0.3873,8.1667,26.9167,0.3013,14.9167,19.25,0.7767,6.0833,16.8333,22.9167,11.8333,7.8333,4.5833,9.75,17.6667,65.25,67.7267,97.2567,0.5,200.0,25.1667,55.9167,0.4502,5.8333,17.75,0.3167,16.3333,22.8333,0.712,13.0,25.0833,38.0833,13.75,5.25,3.8333,12.25,16.5,72.5,66.0133,109.5542,12.9167,28.0,0.4577,0.4626,0.4889,0.5111,0.3597,0.2791,0.1426,0.1959,0.5632,0.1776,0.1166,0.0686,13.5453,107.0563,-9.7997,12
Miami FL,0.4,200.0,31.6,62.2,0.5127,7.2,19.5,0.3754,15.0,22.6,0.6526,10.7,25.7,36.4,18.9,8.8,3.9,11.8,17.2,85.6,74.036,115.801,-0.4,200.0,22.7,58.2,0.3924,7.5,23.5,0.3202,12.4,19.7,0.632,8.9,19.7,28.6,12.9,7.0,4.4,14.2,18.5,65.3,72.859,89.73,24.4,42.7,0.5793,0.5708,0.3133,0.6867,0.3704,0.2489,0.1611,0.3615,0.7448,0.2546,0.1186,0.0527,14.8072,88.4333,27.3677,10
Miami OH,0.1429,203.5714,30.0,60.4286,0.4947,10.2857,27.4286,0.3727,17.5714,21.5714,0.7877,7.4286,25.1429,32.5714,16.1429,7.1429,2.7143,9.8571,17.4286,87.8571,73.1043,119.7543,-0.1429,203.5714,25.2857,56.7143,0.4463,7.4286,20.8571,0.3557,14.4286,19.4286,0.7327,6.7143,22.1429,28.8571,12.8571,6.5714,2.4286,14.2857,18.8571,72.4286,73.5143,98.4814,19.7143,33.0,0.5999,0.5785,0.4543,0.5457,0.3685,0.3004,0.135,0.2538,0.7932,0.2181,0.0971,0.037,14.391,99.1824,20.5719,7
Michigan,0.7778,203.2222,33.7778,64.6667,0.5206,10.3333,28.6667,0.3501,16.1111,22.7778,0.7219,10.5556,32.8889,43.4444,20.5556,7.1111,6.2222,12.8889,15.5556,94.0,77.82,120.8733,-0.7778,202.7778,23.2222,67.3333,0.3451,8.2222,27.7778,0.2963,11.3333,16.6667,0.6941,9.3333,19.2222,28.5556,10.1111,7.3333,2.7778,12.3333,20.3333,66.0,78.2478,84.4211,23.4444,36.0,0.6529,0.5993,0.4392,0.5608,0.3561,0.2521,0.1669,0.351,0.7821,0.264,0.0915,0.0803,15.3201,84.8238,36.0495,9
Michigan St.,0.3333,200.0,27.4444,60.3333,0.4568,6.7778,20.1111,0.3301,14.8889,20.4444,0.7366,12.5556,26.0,38.5556,19.2222,6.5556,4.6667,10.6667,16.4444,76.5556,68.1578,112.3633,-0.3333,200.0,20.6667,54.3333,0.3797,7.1111,24.8889,0.2884,12.5556,17.7778,0.7136,6.5556,20.2222,26.7778,11.3333,7.0,3.0,12.0,18.6667,61.0,68.2222,89.7756,20.6667,40.2222,0.5217,0.5115,0.3306,0.6694,0.349,0.2563,0.157,0.3861,0.8024,0.2804,0.0952,0.0682,13.6316,89.5806,22.7827,9
Middle Tennessee,0.1429,200.0,26.7143,62.4286,0.4309,8.0,25.4286,0.3354,11.0,16.0,0.6901,9.7143,23.0,32.7143,12.5714,5.2857,3.8571,10.2857,19.1429,72.4286,70.6,103.0486,-0.1429,200.5714,28.0,60.4286,0.4647,6.7143,21.5714,0.3087,16.2857,22.1429,0.716,8.7143,25.0,33.7143,14.1429,6.1429,2.5714,9.0,15.4286,79.0,71.2329,111.1171,18.7143,37.0,0.4977,0.4965,0.4079,0.5921,0.2621,0.1809,0.1452,0.2773,0.728,0.1808,0.0752,0.0559,14.12,111.9974,-8.9488,7
Milwaukee,-0.25,200.0,26.5,62.75,0.4249,8.25,25.125,0.3218,14.25,22.25,0.6461,10.625,20.5,31.125,13.25,6.25,3.0,10.375,19.875,75.5,73.0688,103.0975,0.25,200.0,28.875,60.75,0.4765,9.0,22.25,0.3978,17.875,23.125,0.7844,9.75,25.5,35.25,16.125,5.5,3.875,10.875,17.875,84.625,72.86,116.2375,18.25,37.625,0.4898,0.4903,0.3982,0.6018,0.3542,0.2292,0.1428,0.2882,0.686,0.1795,0.085,0.04,14.6138,115.7251,-12.6276,8
Minnesota,0.6,202.5,23.6,52.5,0.4508,6.6,21.4,0.3178,18.0,26.7,0.6752,9.6,23.3,32.9,16.3,6.4,3.3,11.5,16.8,71.8,67.085,106.71,-0.6,202.5,24.6,56.1,0.4413,8.1,21.5,0.3741,12.3,18.6,0.6642,7.2,20.7,27.9,13.7,6.1,3.7,10.3,20.9,69.6,68.035,103.284,17.0,31.1,0.5455,0.5152,0.4091,0.5909,0.5091,0.341,0.1721,0.3194,0.7635,0.2406,0.0938,0.0484,13.2558,104.6122,2.0978,10
Mississippi,0.5556,200.0,26.0,58.3333,0.4487,7.2222,20.4444,0.3478,16.1111,21.1111,0.7697,9.1111,22.7778,31.8889,14.8889,7.5556,5.7778,10.4444,18.6667,75.3333,69.6933,108.5189,-0.5556,200.0,23.0,56.1111,0.4109,7.6667,23.3333,0.3272,14.3333,20.8889,0.6962,9.4444,20.2222,29.6667,13.0,7.1111,3.7778,12.3333,18.2222,68.0,68.9233,99.1467,18.7778,37.8889,0.4988,0.5097,0.3467,0.6533,0.3725,0.2846,0.1489,0.3113,0.7072,0.2134,0.107,0.0834,13.9387,98.1375,10.3814,9
