team,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff,efg,tov_rate,orb_rate,ft_rate,games_played
Army,202.77777777777777,23.77777777777778,59.77777777777778,0.39888888888888885,10.222222222222221,33.111111111111114,0.3074444444444444,11.555555555555555,15.555555555555555,0.7496666666666667,7.888888888888889,21.555555555555557,29.444444444444443,13.333333333333334,4.888888888888889,0.6666666666666666,11.777777777777779,19.333333333333332,69.33333333333333,71.05555555555556,97.89444444444445,0.4843221981083855,0.16576447738716513,0.2709947748657426,0.26785499273563745,9
Auburn,202.5,29.0,61.1,0.47759999999999997,8.0,23.6,0.3416,19.9,27.3,0.7408,11.6,22.9,34.5,13.4,8.5,4.8,10.8,15.9,85.9,73.268,117.501,0.5452101214651611,0.14786852882616852,0.33506627707151165,0.45250197876650133,10
Austin Peay,200.0,25.0,59.875,0.42112499999999997,7.75,24.5,0.310875,12.125,18.625,0.671875,8.875,22.625,31.5,14.5,9.0,1.875,12.125,18.875,69.875,71.97375,97.46875,0.48578985093504035,0.1678073886339922,0.2767568156673925,0.3236177975397816,8
Ball State,200.0,22.0,57.44444444444444,0.3857777777777778,7.333333333333333,24.444444444444443,0.3071111111111111,11.555555555555555,17.0,0.6884444444444444,8.444444444444445,19.0,27.444444444444443,12.88888888888889,7.444444444444445,3.2222222222222223,11.0,15.444444444444445,62.888888888888886,68.07555555555555,91.81777777777778,0.45003136085595635,0.16181945064201841,0.2955914323824929,0.309483507838909,9
Baylor,200.0,30.77777777777778,64.44444444444444,0.4822222222222222,8.444444444444445,23.88888888888889,0.35233333333333333,18.77777777777778,25.22222222222222,0.7564444444444445,13.666666666666666,22.333333333333332,36.0,15.88888888888889,6.888888888888889,4.333333333333333,10.88888888888889,17.11111111111111,88.77777777777777,73.64888888888889,120.43,0.5487366120912303,0.1478611670118574,0.37476159471658343,0.40158654161169643,9
Bellarmine,200.0,25.857142857142858,52.0,0.5027142857142858,6.714285714285714,20.571428571428573,0.32857142857142857,14.0,18.285714285714285,0.7594285714285715,4.285714285714286,16.285714285714285,20.571428571428573,12.714285714285714,7.571428571428571,1.4285714285714286,11.0,16.857142857142858,72.42857142857143,67.40142857142857,108.26142857142858,0.5691422003326431,0.16023397964017633,0.2026548657740608,0.3620438941087286,7
Belmont,199.88888888888889,31.11111111111111,59.22222222222222,0.5237777777777778,10.222222222222221,26.22222222222222,0.38455555555555554,12.0,18.666666666666668,0.6206666666666667,7.777777777777778,27.0,34.77777777777778,18.555555555555557,6.555555555555555,3.5555555555555554,14.0,16.88888888888889,84.44444444444444,74.3111111111111,114.13222222222223,0.6096430544836015,0.18600342341255846,0.22675992870690984,0.3220997848248547,9
Bethune-Cookman,203.125,26.125,61.75,0.421875,6.375,18.75,0.33525,11.75,17.5,0.69825,9.5,20.875,30.375,12.0,6.875,4.0,9.75,18.375,70.375,70.3125,100.00125,0.47281692481185666,0.1384119049245945,0.3045172312614173,0.2899025677003103,8
Binghamton,203.125,20.875,50.375,0.414875,4.25,16.75,0.25425,18.875,24.75,0.764125,7.375,20.5,27.875,10.625,4.625,3.625,14.125,16.625,64.875,68.88,94.12375,0.4563344651499235,0.20263585536026069,0.26924950049950047,0.5026788969074523,8
Boise State,200.0,24.5,57.875,0.421,8.375,22.875,0.372375,18.875,24.625,0.785375,9.875,23.75,33.625,12.625,4.875,1.625,10.75,16.75,76.25,70.44625,107.85625,0.49425099588105637,0.15038502745581706,0.29095271367867487,0.42930063540928315,8
Boston College,206.8181818181818,24.0,59.72727272727273,0.40199999999999997,7.454545454545454,26.727272727272727,0.27645454545454545,14.909090909090908,21.363636363636363,0.7076363636363636,10.454545454545455,25.727272727272727,36.18181818181818,11.181818181818182,4.7272727272727275,5.454545454545454,10.363636363636363,17.0,70.36363636363636,69.78363636363636,100.61545454545454,0.4644362395047748,0.1500200443413189,0.28949961268558405,0.3612562887166614,11
Boston University,205.0,25.3,54.2,0.4747,9.5,25.1,0.3761,11.1,16.4,0.6738999999999999,8.0,19.7,27.7,14.9,5.5,3.3,11.0,17.7,71.4,64.991,109.81599999999999,0.5630394621282742,0.17056413015911115,0.27938293479059234,0.3046306127166736,10
Bowling Green,200.0,27.625,60.5,0.45687500000000003,7.75,22.125,0.33875,16.0,21.875,0.738125,10.0,21.25,31.25,14.0,10.375,2.75,11.625,18.0,79.0,72.51625,109.62,0.52276812971197,0.16017210726270859,0.313163299195408,0.367242734381037,8
Bradley,200.0,25.3,57.0,0.44510000000000005,8.9,25.7,0.3486,15.8,21.2,0.7441,7.3,21.3,28.6,13.0,9.8,3.7,10.0,18.3,75.3,69.77000000000001,108.28,0.5228434085714391,0.1439988553550653,0.24938813360864692,0.3764942737821636,10
Brigham Young,200.0,30.0,62.0,0.4842222222222223,8.666666666666666,24.555555555555557,0.35144444444444445,14.555555555555555,18.88888888888889,0.7794444444444444,9.11111111111111,25.88888888888889,35.0,14.11111111111111,8.222222222222221,4.333333333333333,9.0,15.222222222222221,83.22222222222223,70.86,117.35333333333334,0.5543254230059406,0.12633724119620326,0.2598337269154741,0.306488861427808,9
Brown,204.54545454545453,24.181818181818183,57.63636363636363,0.42245454545454547,7.2727272727272725,21.454545454545453,0.33454545454545453,11.181818181818182,16.181818181818183,0.6932727272727273,8.909090909090908,22.818181818181817,31.727272727272727,14.272727272727273,6.909090909090909,4.545454545454546,12.454545454545455,18.0,66.81818181818181,68.86727272727272,97.14454545454545,0.4856720533602257,0.18281968124003728,0.28513121951885484,0.28175227408356673,11
Bryant,200.0,20.8,56.1,0.3702,8.3,28.9,0.2943,10.3,13.1,0.8065999999999999,7.3,22.1,29.4,12.3,6.3,4.5,13.8,15.2,60.2,68.824,87.658,0.44486174071086754,0.20056565387285014,0.24161417629343593,0.24281258054472182,10
Bucknell,200.0,22.583333333333332,56.25,0.3993333333333333,7.833333333333333,24.5,0.3169166666666667,13.083333333333334,17.833333333333332,0.7315833333333334,8.333333333333334,20.75,29.083333333333332,12.166666666666666,7.0,2.3333333333333335,12.666666666666666,18.333333333333332,66.08333333333333,69.05333333333333,95.91416666666667,0.46837795944927735,0.18184641512281097,0.29019164220266286,0.3272764083208242,12
Buffalo,200.0,24.444444444444443,51.44444444444444,0.47555555555555556,9.0,23.11111111111111,0.39066666666666666,20.11111111111111,27.0,0.7486666666666666,7.222222222222222,20.0,27.22222222222222,11.88888888888889,8.11111111111111,2.7777777777777777,10.0,16.444444444444443,78.0,67.04888888888888,116.3411111111111,0.5627384923975646,0.1488433609049493,0.2620610429404621,0.5325729786134877,9
Butler,200.0,30.444444444444443,61.333333333333336,0.49600000000000005,8.444444444444445,21.444444444444443,0.38822222222222225,18.22222222222222,27.77777777777778,0.6561111111111111,12.11111111111111,26.0,38.111111111111114,17.0,7.555555555555555,4.333333333333333,11.777777777777779,15.666666666666666,87.55555555555556,74.19555555555556,117.96444444444445,0.5663276781697834,0.1570259489913769,0.31845728196534645,0.4515173260787296,9
Cal Poly,200.0,26.11111111111111,61.666666666666664,0.4242222222222222,11.11111111111111,30.333333333333332,0.36333333333333334,17.0,23.555555555555557,0.7105555555555555,9.444444444444445,25.11111111111111,34.55555555555556,12.0,6.222222222222222,2.5555555555555554,16.666666666666668,23.11111111111111,80.33333333333333,80.07666666666667,100.50222222222222,0.5153933572252121,0.20744878747082335,0.2712461964478094,0.39592960761044566,9
Cal State Bakersfield,200.0,23.11111111111111,55.0,0.42166666666666663,4.666666666666667,15.777777777777779,0.2803333333333333,20.77777777777778,28.555555555555557,0.736,9.777777777777779,20.22222222222222,30.0,10.88888888888889,7.444444444444445,5.666666666666667,14.777777777777779,20.0,71.66666666666667,73.56555555555556,97.69999999999999,0.46437478319564346,0.19869353496232608,0.32366176402396934,0.523985004666184,9
Cal State Fullerton,200.0,28.333333333333332,66.33333333333333,0.4282222222222222,7.0,24.666666666666668,0.27555555555555555,16.22222222222222,23.11111111111111,0.6766666666666666,8.0,24.555555555555557,32.55555555555556,12.666666666666666,6.444444444444445,2.111111111111111,10.222222222222221,20.77777777777778,79.88888888888889,79.53333333333333,100.45444444444445,0.48065619466288445,0.12810656080821017,0.24959192190322754,0.3595613763581907,9
Cal State Northridge,200.22222222222223,27.0,62.77777777777778,0.4307777777777778,6.666666666666667,22.444444444444443,0.3048888888888889,14.11111111111111,20.77777777777778,0.6952222222222222,10.11111111111111,23.333333333333332,33.44444444444444,14.555555555555555,6.0,1.4444444444444444,14.0,17.666666666666668,74.77777777777777,76.53666666666666,98.06,0.48415289956653207,0.1819378644799237,0.30123674787417476,0.3357876180025346,9
California,200.0,27.88888888888889,58.111111111111114,0.47977777777777775,9.222222222222221,24.22222222222222,0.3751111111111111,16.88888888888889,22.666666666666668,0.7284444444444444,7.777777777777778,24.333333333333332,32.111111111111114,15.555555555555555,5.222222222222222,4.222222222222222,10.666666666666666,17.88888888888889,81.88888888888889,71.76666666666667,113.80222222222223,0.5577225218504994,0.14829634711360426,0.2470778400805721,0.39289502923242414,9
California Baptist,200.0,27.0,62.4,0.4375,5.9,19.0,0.3142,14.4,20.6,0.6951,13.6,23.3,36.9,11.5,6.5,2.0,11.4,18.9,74.3,69.985,106.46100000000001,0.486336372626075,0.16289976111094145,0.3617750889851423,0.33749510881122385,10
Campbell,200.0,23.285714285714285,56.42857142857143,0.4132857142857143,5.428571428571429,20.142857142857142,0.25599999999999995,19.857142857142858,28.285714285714285,0.6932857142857143,9.571428571428571,22.571428571428573,32.142857142857146,9.714285714285714,6.285714285714286,2.142857142857143,14.142857142857142,19.714285714285715,71.85714285714286,74.43571428571428,96.18142857142857,0.46150554365596735,0.19075209889511197,0.3003987802017359,0.5069113109897009,7
Canisius,200.0,19.666666666666668,50.111111111111114,0.39588888888888885,6.0,18.666666666666668,0.31622222222222224,12.777777777777779,19.0,0.6698888888888889,8.222222222222221,20.22222222222222,28.444444444444443,10.11111111111111,3.0,1.7777777777777777,12.666666666666666,17.666666666666668,58.111111111111114,63.583333333333336,92.01555555555555,0.45594628456622033,0.19813533806831687,0.2831092738900348,0.38444071636483557,9
Central Arkansas,202.77777777777777,25.11111111111111,60.55555555555556,0.41588888888888886,9.444444444444445,31.0,0.30566666666666664,9.88888888888889,16.555555555555557,0.613,7.666666666666667,24.444444444444443,32.111111111111114,14.222222222222221,8.222222222222221,1.5555555555555556,12.88888888888889,16.666666666666668,69.55555555555556,73.64,95.41777777777777,0.4947107743696038,0.1758220740842899,0.23571711127714712,0.2817900924984793,9
Central Connecticut State,203.57142857142858,24.428571428571427,59.42857142857143,0.41328571428571426,6.571428571428571,19.285714285714285,0.3458571428571428,12.857142857142858,18.714285714285715,0.6757142857142858,8.142857142857142,24.285714285714285,32.42857142857143,13.571428571428571,6.285714285714286,5.0,10.285714285714286,13.142857142857142,68.28571428571429,70.46000000000001,96.10142857142856,0.46966600947465637,0.14605645750880772,0.24594169888941858,0.31757528640730365,7
Central Michigan,200.0,25.625,58.875,0.437,6.625,20.75,0.313875,11.625,16.125,0.717875,10.125,21.875,32.0,15.0,3.875,4.0,11.75,18.125,69.5,68.15875,102.15375,0.4926836972406499,0.17197322848788837,0.31388568822523216,0.281170981415769,8
Charleston Southern,200.0,26.22222222222222,63.0,0.41688888888888886,11.333333333333334,32.666666666666664,0.3451111111111111,12.444444444444445,18.22222222222222,0.6747777777777778,9.88888888888889,27.11111111111111,37.0,16.22222222222222,4.333333333333333,3.4444444444444446,12.555555555555555,21.555555555555557,76.22222222222223,74.32111111111111,102.31666666666666,0.5072257192416442,0.16817877454992025,0.26708274747490435,0.29408455545696416,9
Charlotte,200.0,23.666666666666668,54.55555555555556,0.4341111111111111,7.888888888888889,22.77777777777778,0.35533333333333333,13.444444444444445,21.22222222222222,0.6320000000000001,10.333333333333334,20.88888888888889,31.22222222222222,11.555555555555555,4.222222222222222,3.5555555555555554,11.222222222222221,19.88888888888889,68.66666666666667,65.52444444444444,104.47666666666666,0.507187865009016,0.17125694748788664,0.32602505332344045,0.39034456561283676,9
Chattanooga,200.0,23.0,53.0,0.43542857142857144,8.714285714285714,26.571428571428573,0.33414285714285713,15.428571428571429,20.571428571428573,0.7627142857142858,5.857142857142857,20.285714285714285,26.142857142857142,14.428571428571429,5.142857142857143,1.1428571428571428,10.428571428571429,19.0,70.14285714285714,67.34285714285714,104.30428571428571,0.5174887925599291,0.15530792612781788,0.21376678049218034,0.39430089196982027,7
Chicago State,200.0,23.0,57.333333333333336,0.40166666666666667,4.666666666666667,15.88888888888889,0.2928888888888889,13.666666666666666,17.77777777777778,0.7589999999999999,6.888888888888889,17.88888888888889,24.77777777777778,9.222222222222221,8.222222222222221,0.7777777777777778,13.0,21.444444444444443,64.33333333333333,71.88666666666667,89.31222222222222,0.4419392496936307,0.1804007560562553,0.2752747252747253,0.3059848804337216,9
Cincinnati,200.0,25.555555555555557,60.22222222222222,0.42566666666666664,9.444444444444445,29.555555555555557,0.32288888888888884,14.777777777777779,23.444444444444443,0.6356666666666667,9.88888888888889,27.555555555555557,37.44444444444444,17.333333333333332,7.444444444444445,5.555555555555555,13.88888888888889,17.444444444444443,75.33333333333333,75.35777777777778,99.65555555555555,0.5052281650127795,0.18446043124680542,0.2623984721454893,0.40199018910959583,9
Clemson,202.5,28.0,61.7,0.4553,8.7,26.7,0.3247,18.3,24.2,0.7611,12.4,26.2,38.6,15.8,5.7,3.1,8.4,17.0,83.0,69.19500000000001,119.88199999999999,0.5261904896893779,0.12240681733890128,0.3216603022576391,0.4030201653044436,10
Cleveland State,200.0,23.444444444444443,56.111111111111114,0.4187777777777778,10.222222222222221,27.555555555555557,0.37144444444444447,18.11111111111111,24.88888888888889,0.7044444444444444,8.444444444444445,19.444444444444443,27.88888888888889,13.777777777777779,5.222222222222222,2.4444444444444446,14.333333333333334,19.444444444444443,75.22222222222223,73.82,101.60777777777778,0.5102573520799852,0.1943397996496592,0.29855113287401314,0.4532737344822334,9
Coastal Carolina,202.77777777777777,24.333333333333332,61.44444444444444,0.39855555555555555,9.222222222222221,26.555555555555557,0.3451111111111111,13.666666666666666,19.22222222222222,0.6967777777777777,8.0,28.666666666666668,36.666666666666664,10.333333333333334,4.666666666666667,3.0,9.88888888888889,22.444444444444443,71.55555555555556,72.46333333333332,98.9011111111111,0.47389377428641555,0.13640556726252492,0.2163377457823895,0.3286235628413477,9
Colgate,205.55555555555554,28.77777777777778,60.55555555555556,0.48044444444444445,6.777777777777778,20.88888888888889,0.32844444444444443,10.444444444444445,14.11111111111111,0.7187777777777778,6.777777777777778,22.11111111111111,28.88888888888889,13.777777777777779,6.666666666666667,2.888888888888889,9.444444444444445,18.22222222222222,74.77777777777777,69.92666666666668,107.14888888888889,0.5380472158510847,0.135788305575505,0.2273040689929826,0.24566027731210185,9
College of Charleston,200.0,24.0,58.44444444444444,0.4136666666666666,7.222222222222222,24.666666666666668,0.2911111111111111,18.11111111111111,24.444444444444443,0.7356666666666667,10.555555555555555,23.77777777777778,34.333333333333336,11.222222222222221,5.555555555555555,4.444444444444445,9.666666666666666,18.333333333333332,73.33333333333333,69.16777777777777,106.22333333333333,0.47491544668184954,0.140007363847801,0.29800312273413687,0.420993939029795,9
Colorado,202.77777777777777,30.555555555555557,58.666666666666664,0.521,7.111111111111111,17.333333333333332,0.40477777777777774,20.22222222222222,27.333333333333332,0.7252222222222222,9.11111111111111,23.88888888888889,33.0,17.11111111111111,6.0,4.111111111111111,8.666666666666666,17.333333333333332,88.44444444444444,71.20555555555556,124.30444444444444,0.5813758617573113,0.12141986048620984,0.27415918864696365,0.47855499295746573,9
Colorado State,200.0,28.0,52.4,0.5359,11.9,26.2,0.4495,16.0,19.7,0.7978,7.0,23.3,30.3,18.2,4.9,1.5,10.7,15.8,83.9,65.457,128.27100000000002,0.6501996626804465,0.16379991406087782,0.23278695895755788,0.40121884480123776,10
Columbia,202.5,28.7,59.8,0.47919999999999996,9.2,23.3,0.3976,12.8,17.0,0.7564,10.8,26.4,37.2,15.9,5.9,3.9,12.8,17.5,79.4,69.876,113.72200000000001,0.5557047732942154,0.18315254169655856,0.2915077633961643,0.28381869929850206,10
Connecticut,200.0,29.2,59.4,0.49169999999999997,7.7,22.5,0.3458,13.7,19.3,0.7148,9.0,24.1,33.1,17.9,7.5,5.2,8.8,18.1,79.8,68.369,116.266,0.5574247210861565,0.1281421631008141,0.2598274185858316,0.3299204613250864,10
Coppin State,200.0,21.083333333333332,55.5,0.3815,5.083333333333333,18.25,0.2930833333333333,14.0,19.5,0.715,8.083333333333334,19.5,27.583333333333332,11.666666666666666,5.833333333333333,2.6666666666666665,14.75,18.166666666666668,61.25,71.42916666666666,85.8,0.4279413078030451,0.20645985702320493,0.2859174318556345,0.36267519577448,12
Cornell,205.55555555555554,30.555555555555557,62.22222222222222,0.49533333333333335,12.777777777777779,31.77777777777778,0.3987777777777778,14.666666666666666,20.444444444444443,0.7226666666666666,8.0,24.11111111111111,32.111111111111114,19.77777777777778,5.777777777777778,2.4444444444444446,13.11111111111111,21.666666666666668,88.55555555555556,77.04666666666667,115.31222222222222,0.598901322921993,0.16989285508394406,0.25130720302197385,0.3289092592075383,9
Creighton,200.0,26.77777777777778,59.888888888888886,0.4418888888888889,9.333333333333334,29.22222222222222,0.31933333333333336,11.555555555555555,16.0,0.7576666666666667,10.0,24.11111111111111,34.111111111111114,16.11111111111111,5.444444444444445,2.7777777777777777,10.88888888888889,13.666666666666666,74.44444444444444,68.37666666666667,108.72111111111111,0.5204388676363568,0.15881305750006974,0.2802075707951873,0.2784305027558785,9
Dartmouth,200.0,23.0,53.714285714285715,0.4295714285714286,9.714285714285714,26.714285714285715,0.35814285714285715,15.571428571428571,21.142857142857142,0.705,7.142857142857143,24.0,31.142857142857142,12.714285714285714,4.714285714285714,3.7142857142857144,14.285714285714286,14.857142857142858,71.28571428571429,70.89857142857143,101.05,0.5206999663326448,0.2015918781476406,0.22583115849369717,0.4067483853788757,7
Davidson,200.0,24.875,52.25,0.47825,9.0,23.125,0.390125,14.625,22.0,0.66125,7.125,20.625,27.75,13.375,6.625,3.625,10.75,17.875,73.375,66.325,110.4225,0.5649629135614119,0.15885367621304175,0.2489736836950459,0.4244328692301091,8
Dayton,205.0,25.8,56.1,0.4668,8.0,24.1,0.337,19.7,27.2,0.7037,7.9,22.0,29.9,14.8,9.8,4.2,11.7,16.9,79.3,72.82000000000001,110.08399999999999,0.538163541626328,0.15774113774916737,0.26062853062853064,0.49941225543434065,10
DePaul,200.0,25.8,56.6,0.4548,7.9,23.2,0.33490000000000003,19.5,27.7,0.7059,8.9,22.8,31.7,17.7,7.6,3.5,10.8,18.3,79.0,71.657,110.43299999999999,0.5257592689365979,0.1514648439706918,0.2818718630151268,0.4963032964897156,10
Delaware,203.125,25.875,56.25,0.463125,9.625,24.25,0.403875,8.5,12.0,0.6905,5.75,22.5,28.25,14.5,6.375,3.0,12.5,15.0,69.875,68.69875,102.355,0.5497149205919429,0.17946932751444603,0.20651868929642844,0.21536748893571456,8
Delaware State,203.125,20.625,58.5,0.35475,4.625,16.625,0.2715,10.25,15.125,0.6905,7.375,20.625,28.0,9.125,8.625,1.125,11.375,16.25,56.125,69.68625,80.66125,0.39551945919913256,0.16167926401397636,0.25529177375597917,0.2591240479625235,8
Denver,200.0,26.0,57.5,0.454125,8.0,21.875,0.374875,16.75,22.125,0.744875,8.875,18.375,27.25,10.375,4.625,1.75,10.125,19.0,76.75,69.25875,112.1075,0.5236373872927476,0.14249814958896867,0.3315767505441419,0.38616692392307145,8
Detroit Mercy,200.0,26.0,63.888888888888886,0.4091111111111111,5.888888888888889,22.22222222222222,0.2733333333333333,14.333333333333334,18.333333333333332,0.7707777777777778,10.555555555555555,22.22222222222222,32.77777777777778,12.555555555555555,5.666666666666667,2.7777777777777777,11.222222222222221,20.333333333333332,72.22222222222223,73.26555555555555,98.92666666666668,0.45433206833045,0.1524229425788134,0.31769822612776777,0.29256539942126314,9
Drake,203.125,26.625,60.0,0.447625,9.625,26.125,0.36624999999999996,13.25,18.0,0.7195,8.125,24.625,32.75,14.0,5.375,4.0,8.0,15.75,76.125,68.425,111.88749999999999,0.5290301578269254,0.1168623671601577,0.2455469148895873,0.29977374555640024,8
Drexel,200.0,24.88888888888889,61.22222222222222,0.40900000000000003,7.666666666666667,23.0,0.33155555555555555,11.88888888888889,18.666666666666668,0.6223333333333333,12.666666666666666,22.88888888888889,35.55555555555556,12.666666666666666,6.222222222222222,3.6666666666666665,11.0,18.22222222222222,69.33333333333333,68.4211111111111,101.31,0.47134207508465725,0.16187914012784693,0.3609635388090673,0.31458118317030553,9
Duke,200.0,29.7,59.4,0.4974,10.0,28.2,0.3484,17.4,24.5,0.7012,10.5,28.8,39.3,18.7,7.2,4.9,10.2,17.1,86.8,70.736,122.20899999999999,0.58180360794561,0.14444627659104667,0.2691105932912876,0.4151825732614987,10
Duquesne,202.77777777777777,29.0,59.333333333333336,0.4897777777777778,8.0,24.88888888888889,0.3293333333333333,16.666666666666668,24.555555555555557,0.6835555555555556,8.88888888888889,23.666666666666668,32.55555555555556,15.777777777777779,7.111111111111111,2.7777777777777777,14.88888888888889,21.77777777777778,82.66666666666667,76.99777777777778,107.66111111111111,0.5582064557517509,0.1934360122320647,0.2718830170018625,0.40920661908388384,9
East Carolina,200.0,23.125,57.25,0.401875,5.25,18.5,0.28700000000000003,17.125,25.0,0.690625,9.875,21.625,31.5,10.5,6.375,2.875,13.25,17.0,68.625,72.49875,95.42625,0.4492063209150975,0.18118064777743303,0.30374898249898247,0.44365451087525554,8
East Tennessee State,200.0,29.0,58.875,0.49324999999999997,8.25,24.25,0.33675,12.875,18.125,0.709125,9.125,23.125,32.25,15.875,10.375,3.25,11.75,17.25,79.125,70.10875,112.94,0.5611842882742384,0.166139252732409,0.2875043143793144,0.327107312429454,8
East Texas A&M,200.0,23.714285714285715,55.857142857142854,0.42642857142857143,8.571428571428571,26.428571428571427,0.327,12.571428571428571,17.714285714285715,0.6890000000000001,6.571428571428571,21.428571428571427,28.0,13.285714285714286,6.571428571428571,3.2857142857142856,13.714285714285714,19.571428571428573,68.57142857142857,71.41428571428571,96.19714285714285,0.5032474046320669,0.19134219783709275,0.23755915885169593,0.32295014896962554,7
