Rank,Team,Current_AdjEM,AdjO,AdjD,AdjT,Games,Preseason_AdjEM,SurpriseZ,CollapseFactor,FinalPreseasonWeight,Blended_AdjEM
1,Michigan,41.10997216216529,123.8,82.6,75.9,10,22.77,2.2924965202706615,0.41314095712565074,4.957691485507809,35.03123174149868
2,Arizona,38.53850511351867,124.7,86.1,74.5,9,27.16,1.4223131391898334,0.6666837892050481,8.000205470460578,33.183841664714514
3,Gonzaga,37.07868778510026,122.8,85.7,74.2,11,21.12,1.994835973137532,0.5015492031011994,6.018590437214393,31.434929798900328
4,Duke,36.32957988249423,122.9,86.6,70.9,10,20.84,1.9361974853117787,0.5191314097920322,6.229576917504387,30.3840441616121
5,Purdue,29.13484140950345,123.9,94.8,67.2,11,27.3,0.22935517618793133,0.893287844442888,10.719454133314656,28.22927084542054
6,Iowa St.,30.991378765923898,121.6,90.6,73.3,11,25.07,0.7401723457404872,0.8193268047558059,9.831921657069671,28.196699855030328
7,BYU,32.13941487110037,120.9,88.8,72.9,10,23.55,1.0736768588875463,0.7524250022093986,9.029100026512783,28.06383137359778
8,Connecticut,29.310344413974974,118.7,89.4,67.7,11,25.55,0.47004305174687167,0.8624688194558277,10.349625833469933,27.48744793826215
9,Michigan St.,28.995541246688646,115.3,86.3,69.0,10,24.95,0.5056926558360808,0.8573153430021468,10.287784116025762,26.94407743278034
10,Alabama,25.87186298769865,124.2,98.3,77.2,10,24.81,0.1327328734623312,0.9038470978892656,10.846165174671189,25.319380492191844
11,Arkansas,23.65179990685681,120.1,96.5,73.4,10,26.08,-0.3035250116428987,0.8845018391069858,10.614022069283829,24.90206389176164
12,Louisville,28.707672001775563,125.0,96.3,74.0,10,20.72,0.9984590002219456,0.7688535824904889,9.226242989885867,24.874567278681305
13,Houston,21.88468709119138,112.2,90.4,67.2,11,27.43,-0.6931641136010773,0.8275272898825055,9.930327478590065,24.51564321034676
14,Texas Tech,23.77202557374774,117.9,94.1,70.0,10,24.7,-0.11599680328153239,0.9055783864066357,10.866940636879628,24.25528966013725
15,Illinois,26.634401911205046,125.1,98.5,69.9,11,21.59,0.6305502389006308,0.8379888606492014,10.055866327790417,24.22529508401274
16,Saint Mary's,26.973765282270477,117.7,90.8,69.4,10,21.05,0.7404706602838096,0.8192738071556606,9.831285685867927,24.037080805603967
17,St. John's,26.31895228775285,116.5,90.2,74.8,9,21.74,0.5723690359691065,0.8472453337184269,10.166944004621122,23.890085615100656
18,Florida,23.17398348942504,113.7,90.5,73.8,10,23.9,-0.09075206382186973,0.9081370510467629,10.897644612561155,23.552584526134318
19,Kansas,24.816818582711647,114.0,89.2,69.3,11,21.87,0.3683523228389558,0.8763138736574589,10.515766483889507,23.37656981865367
20,Vanderbilt,29.050671702611425,125.1,96.0,73.6,10,13.05,2.000083962826428,0.4999748111520929,5.999697733825115,23.050608741991574
21,Kentucky,23.19377220439813,117.4,94.2,71.0,11,21.73,0.18297152554976615,0.8984786815980952,10.781744179177142,22.46921969314891
22,UCLA,19.506156852178435,116.6,97.1,67.9,10,24.49,-0.6229803934776954,0.8392183281733632,10.070619938080359,22.00684643364422
23,Nebraska,26.69616281076044,117.3,90.6,72.0,11,14.22,1.559520351345055,0.6291508270104669,7.5498099241256025,21.61833946976866
24,Tennessee,20.005687024858844,115.1,95.1,71.0,10,22.28,-0.28428912189264466,0.8868391186246445,10.642069423495734,21.17821464675803
25,Georgia,23.478718039304212,119.8,96.3,78.5,10,17.19,0.7860897549130264,0.8110262484045314,9.732314980854376,20.377014825886345
26,Indiana,24.430340154634308,116.6,92.2,71.8,11,15.2,1.1537925193292886,0.7340851678606105,8.809022014327326,20.325631221346555
27,North Carolina,21.354828129292528,114.9,93.6,71.8,10,18.43,0.36560351616156606,0.8766709548459081,10.520051458150897,19.855351264472944
28,Clemson,22.011423882032958,119.6,97.6,66.6,11,17.24,0.5964279852541199,0.8434712895609275,10.121655474731131,19.724921826565804
29,Auburn,18.78142759350189,120.3,101.5,72.6,11,19.97,-0.1485715508122638,0.9021825713854408,10.826190856625288,19.370981300064525
