date,team,opponent,location_value,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,possessions,raw_off_eff
2021-11-09,Charlotte,Monmouth,1,200,21,55,0.382,6,27,0.222,20,24,0.833,4,22,26,9,8,1,5,14,68,67.4,100.89
2021-11-09,Evansville,Cincinnati,-1,200,14,54,0.259,7,26,0.269,8,14,0.571,5,27,32,8,5,1,12,14,43,67.65,63.56
2021-11-09,Cincinnati,Evansville,1,200,25,55,0.455,7,23,0.304,8,17,0.471,6,33,39,14,5,7,9,17,65,66.08,98.37
2021-11-09,Presbyterian,Clemson,-1,200,21,59,0.356,3,24,0.125,8,10,0.8,11,22,33,12,6,1,15,18,53,67.75,78.23
2021-11-09,Clemson,Presbyterian,1,200,21,45,0.467,8,19,0.421,14,25,0.56,4,26,30,12,4,2,13,13,64,65.88,97.15
2021-11-09,Northeastern,Colgate,-1,200,20,50,0.4,3,14,0.214,15,21,0.714,7,30,37,10,3,1,14,20,58,66.97,86.6
2021-11-09,Colgate,Northeastern,1,200,22,56,0.393,8,23,0.348,13,16,0.813,4,27,31,14,6,2,8,18,65,67.6,96.15
2021-11-09,Delaware,Davidson,-1,200,23,57,0.404,6,22,0.273,19,24,0.792,13,17,30,9,6,1,13,18,71,68.4,103.8
2021-11-09,Davidson,Delaware,1,200,32,54,0.593,14,23,0.609,15,20,0.75,5,24,29,20,5,3,10,23,93,68.5,135.77
2021-11-09,Illinois Chicago,Dayton,-1,200,21,57,0.368,10,28,0.357,2,2,1.0,5,21,26,15,5,2,8,22,54,60.95,88.6
2021-11-09,Dayton,Illinois Chicago,1,200,24,51,0.471,2,14,0.143,14,23,0.609,9,29,38,11,3,1,9,9,64,61.92,103.35
2021-11-09,Rider,Duquesne,-1,200,26,57,0.456,2,16,0.125,7,9,0.778,9,23,32,9,4,3,12,12,61,64.28,94.9
2021-11-09,Duquesne,Rider,1,200,24,61,0.393,12,30,0.4,13,13,1.0,8,22,30,15,6,4,6,13,73,65.17,112.01
2021-11-09,South Carolina St.,East Carolina,-1,200,24,68,0.353,5,16,0.313,9,16,0.563,12,33,45,7,5,5,16,21,62,79.6,77.89
2021-11-09,East Carolina,South Carolina St.,1,200,24,74,0.324,6,27,0.222,16,27,0.593,15,30,45,12,9,6,9,15,70,80.83,86.61
2021-11-09,Stony Brook,George Mason,-1,200,22,64,0.344,6,28,0.214,2,4,0.5,5,19,24,2,8,1,12,10,52,72.9,71.33
2021-11-09,George Mason,Stony Brook,1,200,32,61,0.525,7,25,0.28,3,6,0.5,8,31,39,15,7,5,14,13,74,69.85,105.94
2021-11-09,FIU,Georgia,-1,200,20,59,0.339,9,27,0.333,2,4,0.5,10,23,33,12,9,6,16,17,51,66.9,76.23
2021-11-09,Georgia,FIU,1,200,20,57,0.351,3,15,0.2,15,21,0.714,14,28,42,13,9,2,15,9,58,67.97,85.33
2021-11-09,Ball St.,Georgia Southern,-1,200,25,57,0.439,11,30,0.367,10,21,0.476,10,21,31,13,8,0,17,19,71,73.97,95.98
2021-11-09,Georgia Southern,Ball St.,1,200,30,57,0.526,7,21,0.333,15,23,0.652,8,26,34,15,12,5,12,18,82,71.92,114.01
2021-11-09,Miami OH,Georgia Tech,-1,200,25,64,0.391,6,31,0.194,16,21,0.762,7,23,30,9,7,4,8,17,72,74.97,96.03
2021-11-09,Georgia Tech,Miami OH,1,200,24,61,0.393,4,17,0.235,17,20,0.85,9,31,40,11,6,3,14,23,69,75.5,91.39
2021-11-09,Texas St.,Incarnate Word,-1,200,33,54,0.611,5,13,0.385,4,11,0.364,8,14,22,5,6,1,10,15,75,61.23,122.5
2021-11-09,Incarnate Word,Texas St.,1,200,19,45,0.422,7,26,0.269,12,13,0.923,7,13,20,8,1,1,19,14,57,63.17,90.23
2021-11-09,Appalachian St.,Iona,-1,200,21,60,0.35,3,22,0.136,8,17,0.471,8,18,26,10,4,1,10,22,53,70.08,75.63
2021-11-09,Iona,Appalachian St.,1,200,24,49,0.49,3,15,0.2,14,20,0.7,6,26,32,16,3,9,11,21,65,63.5,102.36
2021-11-09,UMBC,Massachusetts,-1,200,21,65,0.323,5,28,0.179,13,14,0.929,15,27,42,8,4,1,19,16,60,75.65,79.31
2021-11-09,Massachusetts,UMBC,1,200,31,65,0.477,4,17,0.235,11,18,0.611,8,24,32,14,11,5,9,18,77,74.55,103.29
2021-11-09,Canisius,Miami FL,-1,200,24,58,0.414,5,21,0.238,14,24,0.583,5,20,25,14,10,3,13,17,67,77.4,86.56
2021-11-09,Miami FL,Canisius,1,200,29,60,0.483,5,17,0.294,14,22,0.636,10,26,36,20,10,6,13,17,77,73.45,104.83
2021-11-09,New Orleans,Mississippi,-1,201,24,54,0.444,5,15,0.333,8,10,0.8,4,25,29,13,6,2,18,14,61,72.75,83.85
2021-11-09,Mississippi,New Orleans,1,200,34,64,0.531,9,22,0.409,5,9,0.556,5,24,29,23,10,3,11,12,82,74.28,110.4
2021-11-09,North Carolina A&T,UNC Greensboro,-1,200,19,59,0.322,2,20,0.1,13,22,0.591,8,21,29,4,13,5,5,20,53,66.45,79.76
2021-11-09,UNC Greensboro,North Carolina A&T,1,200,21,56,0.375,6,20,0.3,9,17,0.529,10,36,46,13,3,1,16,17,57,70.08,81.34
2021-11-09,Belmont,Ohio,-1,200,28,60,0.467,9,26,0.346,15,16,0.938,4,26,30,20,4,1,11,16,80,74.6,107.24
2021-11-09,Ohio,Belmont,1,200,33,68,0.485,16,37,0.432,10,12,0.833,8,21,29,17,7,4,8,11,92,73.7,124.83
