date,team,opponent,location_value,neutral,game_url,game_id
2026-01-27,Northern Illinois,Western Michigan,1,0,,2026-01-27__Northern Illinois__Western Michigan
2026-01-27,Notre Dame,Virginia,1,0,,2026-01-27__Notre Dame__Virginia
2026-01-27,Ohio,Kent St.,-1,0,,2026-01-27__Kent St.__Ohio
2026-01-27,Oklahoma,Arkansas,1,0,,2026-01-27__Arkansas__Oklahoma
2026-01-27,Pittsburgh,Wake Forest,1,0,,2026-01-27__Pittsburgh__Wake Forest
2026-01-27,Providence,Connecticut,-1,0,,2026-01-27__Connecticut__Providence
2026-01-27,Purdue,Indiana,-1,0,,2026-01-27__Indiana__Purdue
2026-01-27,Rhode Island,Dayton,-1,0,,2026-01-27__Dayton__Rhode Island
2026-01-27,Richmond,VCU,-1,0,,2026-01-27__Richmond__VCU
2026-01-27,Rutgers,Michigan St.,1,0,,2026-01-27__Michigan St.__Rutgers
2026-01-27,Saint Joseph's,Loyola Chicago,-1,0,,2026-01-27__Loyola Chicago__Saint Joseph's
2026-01-27,Saint Louis,George Washington,1,0,,2026-01-27__George Washington__Saint Louis
2026-01-27,San Jose St.,Boise St.,1,0,,2026-01-27__Boise St.__San Jose St.
2026-01-27,Southeastern Louisiana,McNeese,1,0,,2026-01-27__McNeese__Southeastern Louisiana
2026-01-27,Southern,Mississippi Valley St.,1,0,,2026-01-27__Mississippi Valley St.__Southern
2026-01-27,Syracuse,N.C. State,-1,0,,2026-01-27__N.C. State__Syracuse
2026-01-27,Tennessee,Georgia,-1,0,,2026-01-27__Georgia__Tennessee
2026-01-27,Tennessee St.,Tennessee Tech,1,0,,2026-01-27__Tennessee St.__Tennessee Tech
2026-01-27,Tennessee Tech,Tennessee St.,-1,0,,2026-01-27__Tennessee St.__Tennessee Tech
2026-01-27,Toledo,Akron,-1,0,,2026-01-27__Akron__Toledo
2026-01-27,UCF,Arizona St.,1,0,,2026-01-27__Arizona St.__UCF
2026-01-27,UNLV,New Mexico,1,0,,2026-01-27__New Mexico__UNLV
2026-01-27,VCU,Richmond,1,0,,2026-01-27__Richmond__VCU
2026-01-27,Vanderbilt,Kentucky,1,0,,2026-01-27__Kentucky__Vanderbilt
2026-01-27,Virginia,Notre Dame,-1,0,,2026-01-27__Notre Dame__Virginia
2026-01-27,Virginia Tech,Georgia Tech,1,0,,2026-01-27__Georgia Tech__Virginia Tech
2026-01-27,Wake Forest,Pittsburgh,-1,0,,2026-01-27__Pittsburgh__Wake Forest
2026-01-27,West Virginia,Kansas St.,1,0,,2026-01-27__Kansas St.__West Virginia
2026-01-27,Western Michigan,Northern Illinois,-1,0,,2026-01-27__Northern Illinois__Western Michigan
2026-01-28,American,Loyola MD,-1,0,,2026-01-28__American__Loyola MD
2026-01-28,Arkansas St.,Old Dominion,1,0,,2026-01-28__Arkansas St.__Old Dominion
2026-01-28,Army,Lehigh,1,0,,2026-01-28__Army__Lehigh
2026-01-28,Auburn,Texas,1,0,,2026-01-28__Auburn__Texas
2026-01-28,Austin Peay,Eastern Kentucky,-1,0,,2026-01-28__Austin Peay__Eastern Kentucky
2026-01-28,Baylor,Cincinnati,-1,0,,2026-01-28__Baylor__Cincinnati
2026-01-28,Bellarmine,West Georgia,1,0,,2026-01-28__Bellarmine__West Georgia
2026-01-28,Belmont,Valparaiso,-1,0,,2026-01-28__Belmont__Valparaiso
2026-01-28,Boston University,Navy,1,0,,2026-01-28__Boston University__Navy
2026-01-28,Bucknell,Lafayette,-1,0,,2026-01-28__Bucknell__Lafayette
2026-01-28,Butler,St. John's,-1,0,,2026-01-28__Butler__St. John's
2026-01-28,California,Florida St.,-1,0,,2026-01-28__California__Florida St.
2026-01-28,Central Arkansas,Queens,-1,0,,2026-01-28__Central Arkansas__Queens
2026-01-28,Charlotte,Temple,-1,0,,2026-01-28__Charlotte__Temple
2026-01-28,Cincinnati,Baylor,1,0,,2026-01-28__Baylor__Cincinnati
2026-01-28,Colgate,Holy Cross,1,0,,2026-01-28__Colgate__Holy Cross
2026-01-28,Colorado St.,San Diego St.,-1,0,,2026-01-28__Colorado St.__San Diego St.
2026-01-28,Davidson,George Mason,-1,0,,2026-01-28__Davidson__George Mason
2026-01-28,DePaul,Georgetown,-1,0,,2026-01-28__DePaul__Georgetown
2026-01-28,Delaware,New Mexico St.,-1,0,,2026-01-28__Delaware__New Mexico St.
2026-01-28,Denver,Kansas City,-1,0,,2026-01-28__Denver__Kansas City
2026-01-28,Drake,Evansville,1,0,,2026-01-28__Drake__Evansville
2026-01-28,Duquesne,St. Bonaventure,1,0,,2026-01-28__Duquesne__St. Bonaventure
2026-01-28,East Carolina,Rice,1,0,,2026-01-28__East Carolina__Rice
2026-01-28,Eastern Kentucky,Austin Peay,1,0,,2026-01-28__Austin Peay__Eastern Kentucky
2026-01-28,Evansville,Drake,-1,0,,2026-01-28__Drake__Evansville
2026-01-28,FIU,Jacksonville St.,1,0,,2026-01-28__FIU__Jacksonville St.
2026-01-28,Florida,South Carolina,-1,0,,2026-01-28__Florida__South Carolina
2026-01-28,Florida St.,California,1,0,,2026-01-28__California__Florida St.
2026-01-28,Fordham,La Salle,1,0,,2026-01-28__Fordham__La Salle
2026-01-28,George Mason,Davidson,1,0,,2026-01-28__Davidson__George Mason
2026-01-28,Georgetown,DePaul,1,0,,2026-01-28__DePaul__Georgetown
2026-01-28,Holy Cross,Colgate,-1,0,,2026-01-28__Colgate__Holy Cross
2026-01-28,Houston,TCU,-1,0,,2026-01-28__Houston__TCU
2026-01-28,IU Indy,Robert Morris,-1,0,,2026-01-28__IU Indy__Robert Morris
2026-01-28,Illinois St.,Murray St.,-1,0,,2026-01-28__Illinois St.__Murray St.
2026-01-28,Iowa,USC,1,0,,2026-01-28__Iowa__USC
2026-01-28,Jacksonville St.,FIU,-1,0,,2026-01-28__FIU__Jacksonville St.
2026-01-28,Kansas City,Denver,1,0,,2026-01-28__Denver__Kansas City
2026-01-28,Kennesaw St.,Western Kentucky,1,0,,2026-01-28__Kennesaw St.__Western Kentucky
2026-01-28,LSU,Mississippi St.,1,0,,2026-01-28__LSU__Mississippi St.
2026-01-28,La Salle,Fordham,-1,0,,2026-01-28__Fordham__La Salle
2026-01-28,Lafayette,Bucknell,1,0,,2026-01-28__Bucknell__Lafayette
2026-01-28,Lehigh,Army,-1,0,,2026-01-28__Army__Lehigh
2026-01-28,Louisiana Tech,UTEP,-1,0,,2026-01-28__Louisiana Tech__UTEP
2026-01-28,Loyola MD,American,1,0,,2026-01-28__American__Loyola MD
2026-01-28,Loyola Marymount,Oregon St.,1,0,,2026-01-28__Loyola Marymount__Oregon St.
2026-01-28,Marshall,Texas St.,-1,0,,2026-01-28__Marshall__Texas St.
2026-01-28,Miami FL,Stanford,1,0,,2026-01-28__Miami FL__Stanford
2026-01-28,Minnesota,Wisconsin,-1,0,,2026-01-28__Minnesota__Wisconsin
2026-01-28,Mississippi St.,LSU,-1,0,,2026-01-28__LSU__Mississippi St.
2026-01-28,Missouri St.,Sam Houston St.,1,0,,2026-01-28__Missouri St.__Sam Houston St.
2026-01-28,Murray St.,Illinois St.,1,0,,2026-01-28__Illinois St.__Murray St.
2026-01-28,Navy,Boston University,-1,0,,2026-01-28__Boston University__Navy
2026-01-28,Nebraska Omaha,South Dakota St.,1,0,,2026-01-28__Nebraska Omaha__South Dakota St.
2026-01-28,New Mexico St.,Delaware,1,0,,2026-01-28__Delaware__New Mexico St.
2026-01-28,North Texas,Tulsa,-1,0,,2026-01-28__North Texas__Tulsa
2026-01-28,Northern Iowa,Southern Illinois,-1,0,,2026-01-28__Northern Iowa__Southern Illinois
2026-01-28,Oakland,Purdue Fort Wayne,-1,0,,2026-01-28__Oakland__Purdue Fort Wayne
2026-01-28,Old Dominion,Arkansas St.,-1,0,,2026-01-28__Arkansas St.__Old Dominion
2026-01-28,Oregon,UCLA,1,0,,2026-01-28__Oregon__UCLA
2026-01-28,Oregon St.,Loyola Marymount,-1,0,,2026-01-28__Loyola Marymount__Oregon St.
2026-01-28,Pacific,Portland,1,0,,2026-01-28__Pacific__Portland
2026-01-28,Pepperdine,San Diego,1,0,,2026-01-28__Pepperdine__San Diego
2026-01-28,Portland,Pacific,-1,0,,2026-01-28__Pacific__Portland
2026-01-28,Purdue Fort Wayne,Oakland,1,0,,2026-01-28__Oakland__Purdue Fort Wayne
2026-01-28,Queens,Central Arkansas,1,0,,2026-01-28__Central Arkansas__Queens
2026-01-28,Rice,East Carolina,-1,0,,2026-01-28__East Carolina__Rice
2026-01-28,Robert Morris,IU Indy,1,0,,2026-01-28__IU Indy__Robert Morris
2026-01-28,Sam Houston St.,Missouri St.,-1,0,,2026-01-28__Missouri St.__Sam Houston St.
2026-01-28,San Diego,Pepperdine,-1,0,,2026-01-28__Pepperdine__San Diego
2026-01-28,San Diego St.,Colorado St.,1,0,,2026-01-28__Colorado St.__San Diego St.
2026-01-28,San Francisco,Santa Clara,-1,0,,2026-01-28__San Francisco__Santa Clara
2026-01-28,Santa Clara,San Francisco,1,0,,2026-01-28__San Francisco__Santa Clara
2026-01-28,Seattle,Washington St.,-1,0,,2026-01-28__Seattle__Washington St.
2026-01-28,Seton Hall,Xavier,1,0,,2026-01-28__Seton Hall__Xavier
2026-01-28,South Carolina,Florida,1,0,,2026-01-28__Florida__South Carolina
2026-01-28,South Dakota St.,Nebraska Omaha,-1,0,,2026-01-28__Nebraska Omaha__South Dakota St.
2026-01-28,South Florida,Tulane,-1,0,,2026-01-28__South Florida__Tulane
2026-01-28,Southern Illinois,Northern Iowa,1,0,,2026-01-28__Northern Iowa__Southern Illinois
2026-01-28,St. Bonaventure,Duquesne,-1,0,,2026-01-28__Duquesne__St. Bonaventure
2026-01-28,St. John's,Butler,1,0,,2026-01-28__Butler__St. John's
2026-01-28,Stanford,Miami FL,-1,0,,2026-01-28__Miami FL__Stanford
2026-01-28,TCU,Houston,1,0,,2026-01-28__Houston__TCU
2026-01-28,Temple,Charlotte,1,0,,2026-01-28__Charlotte__Temple
2026-01-28,Texas,Auburn,-1,0,,2026-01-28__Auburn__Texas
2026-01-28,Texas St.,Marshall,1,0,,2026-01-28__Marshall__Texas St.
